time_s,furnance_temperature_c,center_simulated_c,t_min_c,t_max_c
0.000000,1194.000000,20.000000,20.000000,20.000000
10.000000,1196.000000,39.381109,38.572525,44.213215
20.000000,1198.000000,59.879171,58.795749,65.197246
30.000000,1200.000000,80.340876,79.180721,85.792178
40.000000,1202.000000,100.733439,99.542020,106.275853
50.000000,1204.000000,121.172780,119.954903,126.836853
60.000000,1206.000000,141.650168,140.406681,147.434066
70.000000,1208.000000,162.145235,160.876857,168.045611
80.000000,1210.000000,182.637659,181.345170,188.650856
90.000000,1212.000000,203.154036,201.833188,209.292447
100.000000,1214.000000,223.793155,222.443689,230.067211
110.000000,1216.000000,244.533283,243.155703,250.939338
120.000000,1218.000000,265.348342,263.943604,271.881424
130.000000,1220.000000,286.212348,284.781592,292.866999
140.000000,1222.000000,307.154782,305.693915,313.949167
150.000000,1224.000000,328.206277,326.714595,335.147776
160.000000,1226.000000,349.339789,347.818045,356.422819
170.000000,1228.000000,370.524411,368.973972,377.741864
180.000000,1230.000000,391.729548,390.152021,399.073706
190.000000,1232.000000,412.602296,411.037416,419.838039
200.000000,1234.000000,433.024282,431.488248,440.105631
210.000000,1236.000000,452.989100,451.485797,459.913447
220.000000,1238.000000,472.507200,471.037098,479.277052
230.000000,1240.000000,491.589645,490.152267,498.208489
240.000000,1242.000000,510.247269,508.841893,516.718766
250.000000,1244.000000,528.490634,527.116491,534.818425
260.000000,1246.000000,546.330044,544.986362,552.517695
270.000000,1248.000000,563.775544,562.461569,569.826539
280.000000,1250.000000,580.836931,579.551924,586.754668
290.000000,1252.000000,597.523757,596.266998,603.311550
300.000000,1254.000000,613.845338,612.616123,619.506418
310.000000,1256.000000,629.810755,628.608400,635.348273
320.000000,1258.000000,645.428867,644.252705,650.845897
330.000000,1260.000000,660.708311,659.557689,666.007849
340.000000,1262.000000,675.657509,674.531793,680.842476
350.000000,1264.000000,690.284674,689.183244,695.357921
360.000000,1266.000000,704.597815,703.520067,709.562119
370.000000,1268.000000,718.604741,717.550087,723.462811
380.000000,1270.000000,732.313067,731.280932,737.067546
390.000000,1272.000000,745.730220,744.720043,750.383683
400.000000,1274.000000,758.863439,757.874676,763.418400
410.000000,1276.000000,771.719788,770.751904,776.178694
420.000000,1278.000000,784.306150,783.358628,788.671392
430.000000,1280.000000,796.629241,795.701573,800.903147
440.000000,1282.000000,808.695607,807.787300,812.880449
450.000000,1284.000000,820.511633,819.622206,824.609626
460.000000,1286.000000,832.083545,831.212528,836.096849
470.000000,1288.000000,843.417413,842.564348,847.348134
480.000000,1290.000000,854.519158,853.683599,858.369350
490.000000,1292.000000,865.394552,864.576063,869.166217
500.000000,1294.000000,876.049224,875.247381,879.744316
