time,t_min,t_max,selected_node_temperature
0,20,20,20
10,27.4877,31.8629,28.2934
20,35.9605,40.9025,37.012
30,44.4821,49.461,45.575
40,52.8688,57.7787,53.9533
50,61.0832,65.9027,62.1484
60,69.1197,73.8451,70.1636
70,76.9795,81.6113,78.0019
80,84.6655,89.2046,85.6667
90,92.1808,96.6286,93.161
100,99.5285,103.887,100.488
110,106.711,110.982,107.65
120,113.732,117.918,114.652
130,120.594,124.696,121.494
140,127.3,131.32,128.182
150,133.855,137.792,134.718
160,140.26,144.117,141.105
170,146.518,150.296,147.345
180,152.633,156.334,153.443
190,158.608,162.231,159.4
200,164.445,167.993,165.219
210,170.147,173.62,170.905
220,175.716,179.117,176.458
230,181.157,184.486,181.882
240,186.471,189.729,187.18
250,191.66,194.849,192.354
260,196.729,199.85,197.408
270,201.683,204.737,202.347
280,206.527,209.515,207.176
290,211.264,214.187,211.899
300,215.896,218.755,216.516
310,220.423,223.219,221.029
320,224.849,227.582,225.441
330,229.174,231.847,229.752
340,233.4,236.014,233.965
350,237.53,240.085,238.082
360,241.566,244.062,242.105
370,245.508,247.948,246.034
380,249.359,251.743,249.873
390,253.12,255.45,253.622
400,256.793,259.07,257.284
410,260.381,262.605,260.86
420,263.884,266.057,264.351
430,267.305,269.427,267.761
440,270.644,272.717,271.089
450,273.904,275.929,274.339
460,277.087,279.064,277.511
470,280.193,282.124,280.607
480,283.225,285.11,283.629
490,286.184,288.025,286.579
500,289.072,290.869,289.457
