time,t_min,t_max,selected_node_temperature
0,20,20,20
10,25.2343,25.8123,25.2343
20,30.6874,31.2763,30.6874
30,36.0882,36.6733,36.0882
40,41.4274,42.0081,41.4274
50,46.7047,47.2811,46.7047
60,51.9205,52.4924,51.9205
70,57.0748,57.6421,57.0748
80,62.1678,62.7306,62.1678
90,67.1998,67.758,67.1998
100,72.171,72.7246,72.171
110,77.0818,77.6307,77.0818
120,81.9322,82.4764,81.9322
130,86.7228,87.2622,86.7228
140,91.4537,91.9883,91.4537
150,96.1252,96.6551,96.1252
160,100.738,101.263,100.738
170,105.294,105.815,105.294
180,109.792,110.309,109.792
190,114.234,114.746,114.234
200,118.619,119.127,118.619
210,122.948,123.451,122.948
220,127.221,127.72,127.221
230,131.439,131.933,131.439
240,135.601,136.091,135.601
250,139.709,140.194,139.709
260,143.762,144.243,143.762
270,147.762,148.237,147.762
280,151.707,152.179,151.707
290,155.6,156.066,155.6
300,159.44,159.902,159.44
310,163.227,163.685,163.227
320,166.963,167.415,166.963
330,170.647,171.095,170.647
340,174.28,174.723,174.28
350,177.863,178.301,177.863
360,181.396,181.829,181.396
370,184.878,185.307,184.878
380,188.312,188.736,188.312
390,191.697,192.117,191.697
400,195.034,195.449,195.034
410,198.323,198.733,198.323
420,201.568,201.973,201.568
430,204.769,205.171,204.769
440,207.929,208.326,207.929
450,211.046,211.439,211.046
460,214.121,214.51,214.121
470,217.155,217.539,217.155
480,220.148,220.527,220.148
490,223.099,223.474,223.099
500,226.01,226.381,226.01
