time,t_min,t_max,selected_node_temperature
0,20,20,20
10,25.2046,25.7793,25.2046
20,30.5999,31.1825,30.5999
30,35.9166,36.4924,35.9166
40,41.1471,41.7158,41.1471
50,46.2927,46.8544,46.2927
60,51.3551,51.9099,51.3551
70,56.3361,56.884,56.3361
80,61.2371,61.7783,61.2371
90,66.0598,66.5942,66.0598
100,70.8056,71.3335,70.8056
110,75.4761,75.9974,75.4761
120,80.0726,80.5876,80.0726
130,84.5967,85.1053,84.5967
140,89.0496,89.5519,89.0496
150,93.4328,93.9289,93.4328
160,97.7475,98.2374,97.7475
170,101.994,102.478,101.994
180,106.172,106.65,106.172
190,110.284,110.756,110.284
200,114.33,114.797,114.33
210,118.312,118.773,118.312
220,122.232,122.687,122.232
230,126.09,126.539,126.09
240,129.887,130.331,129.887
250,133.625,134.064,133.625
260,137.306,137.739,137.306
270,140.929,141.357,140.929
280,144.496,144.919,144.496
290,148.008,148.426,148.008
300,151.467,151.879,151.467
310,154.872,155.28,154.872
320,158.226,158.629,158.226
330,161.528,161.926,161.528
340,164.781,165.174,164.781
350,167.985,168.373,167.985
360,171.14,171.524,171.14
370,174.248,174.627,174.248
380,177.309,177.684,177.309
390,180.325,180.695,180.325
400,183.296,183.661,183.296
410,186.222,186.583,186.222
420,189.106,189.462,189.106
430,191.946,192.298,191.946
440,194.745,195.093,194.745
450,197.503,197.847,197.503
460,200.22,200.56,200.22
470,202.899,203.234,202.899
480,205.539,205.87,205.539
490,208.141,208.468,208.141
500,210.706,211.029,210.706
