time,t_min,t_max,selected_node_temperature
0,20,20,20
10,26.6955,28.0319,27.4259
20,33.7776,35.1482,34.5362
30,40.7542,42.1021,41.5012
40,47.5996,48.922,48.3325
50,54.3146,55.6119,55.0336
60,60.9017,62.1742,61.6069
70,67.3633,68.6115,68.055
80,73.7017,74.9262,74.3803
90,79.9193,81.1205,80.585
100,86.0185,87.1968,86.6715
110,92.0015,93.1573,92.642
120,97.8704,99.0042,98.4988
130,103.628,104.74,104.244
140,109.275,110.366,109.88
150,114.815,115.885,115.408
160,120.249,121.299,120.831
170,125.58,126.609,126.15
180,130.809,131.819,131.369
190,135.938,136.929,136.487
200,140.97,141.942,141.509
210,145.906,146.859,146.434
220,150.748,151.683,151.266
230,155.497,156.415,156.006
240,160.156,161.056,160.655
250,164.726,165.609,165.216
260,169.21,170.076,169.69
270,173.607,174.457,174.078
280,177.921,178.755,178.383
290,182.153,182.971,182.606
300,186.304,187.106,186.749
310,190.376,191.163,190.812
320,194.371,195.142,194.798
330,198.289,199.046,198.708
340,202.132,202.875,202.544
350,205.903,206.631,206.306
360,209.601,210.316,209.997
370,213.229,213.93,213.618
380,216.788,217.476,217.169
390,220.279,220.954,220.653
400,223.704,224.366,224.071
410,227.063,227.712,227.423
420,230.359,230.995,230.712
430,233.591,234.216,233.937
440,236.762,237.375,237.102
450,239.873,240.474,240.206
460,242.924,243.513,243.251
470,245.917,246.495,246.238
480,248.853,249.42,249.167
490,251.733,252.29,252.042
500,254.559,255.104,254.861
510,257.33,257.865,257.627
520,260.049,260.574,260.34
530,262.715,263.23,263.001
540,265.331,265.837,265.611
550,267.897,268.393,268.172
560,270.415,270.901,270.684
570,272.884,273.361,273.148
580,275.306,275.774,275.565
590,277.682,278.141,277.937
600,280.013,280.463,280.262
610,282.299,282.741,282.544
620,284.542,284.975,284.782
630,286.742,287.167,286.978
640,288.9,289.317,289.131
650,291.017,291.426,291.244
660,293.094,293.495,293.316
670,295.131,295.525,295.349
680,297.129,297.515,297.343
690,299.09,299.468,299.299
700,301.012,301.384,301.218
710,302.899,303.263,303.101
720,304.749,305.106,304.947
730,306.564,306.915,306.758
740,308.344,308.688,308.535
750,310.091,310.428,310.278
760,311.804,312.135,311.988
770,313.485,313.809,313.665
780,315.133,315.452,315.31
790,316.75,317.063,316.924
800,318.337,318.643,318.507
810,319.893,320.193,320.059
820,321.419,321.714,321.583
830,322.917,323.206,323.077
840,324.386,324.669,324.543
850,325.826,326.105,325.981
860,327.24,327.513,327.391
870,328.626,328.894,328.775
880,329.986,330.249,330.132
890,331.32,331.578,331.463
900,332.629,332.882,332.769
910,333.913,334.161,334.05
920,335.172,335.415,335.307
930,336.407,336.646,336.54
940,337.619,337.853,337.749
950,338.808,339.037,338.935
960,339.974,340.199,340.099
970,341.118,341.339,341.24
980,342.24,342.456,342.36
990,343.34,343.553,343.458
1000,344.42,344.629,344.536
1010,345.479,345.684,345.592
1020,346.518,346.719,346.629
1030,347.537,347.734,347.646
1040,348.537,348.73,348.644
1050,349.517,349.707,349.622
1060,350.479,350.665,350.582
1070,351.423,351.605,351.524
1080,352.349,352.527,352.448
1090,353.257,353.432,353.354
1100,354.147,354.319,354.243
1110,355.021,355.19,355.115
1120,355.878,356.044,355.97
1130,356.719,356.881,356.809
1140,357.544,357.703,357.632
1150,358.353,358.509,358.439
1160,359.146,359.3,359.231
1170,359.925,360.075,360.008
1180,360.688,360.836,360.77
1190,361.437,361.582,361.518
1200,362.172,362.314,362.251
1210,362.893,363.032,362.97
1220,363.6,363.737,363.676
1230,364.294,364.428,364.368
1240,364.974,365.106,365.047
1250,365.642,365.77,365.713
1260,366.296,366.423,366.366
1270,366.938,367.063,367.007
1280,367.568,367.69,367.636
1290,368.186,368.306,368.253
1300,368.793,368.91,368.858
1310,369.387,369.502,369.451
1320,369.971,370.083,370.033
1330,370.543,370.653,370.604
1340,371.104,371.213,371.164
1350,371.655,371.761,371.714
1360,372.195,372.299,372.253
1370,372.725,372.827,372.781
1380,373.244,373.345,373.3
1390,373.754,373.853,373.809
1400,374.254,374.351,374.308
1410,374.745,374.84,374.798
1420,375.226,375.319,375.278
1430,375.698,375.789,375.749
1440,376.161,376.251,376.211
1450,376.616,376.703,376.664
1460,377.061,377.147,377.109
1470,377.498,377.583,377.545
1480,377.927,378.01,377.973
1490,378.348,378.429,378.393
1500,378.76,378.84,378.804
1510,379.165,379.243,379.208
1520,379.562,379.639,379.605
