time,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49,node_50,node_51,node_52,node_53,node_54,node_55,node_56,node_57,node_58,node_59,node_60,node_61,node_62,node_63,node_64,node_65,node_66,node_67,node_68,node_69,node_70,node_71,node_72,node_73,node_74,node_75,node_76,node_77,node_78,node_79,node_80,node_81,node_82,node_83,node_84,node_85,node_86,node_87,node_88,node_89,node_90,node_91,node_92,node_93,node_94,node_95,node_96,node_97,node_98,node_99,node_100,node_101,node_102,node_103,node_104,node_105,node_106,node_107,node_108,node_109,node_110,node_111,node_112,node_113,node_114,node_115,node_116,node_117,node_118,node_119,node_120
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
10,27.4259,27.4337,27.4519,27.4816,27.523,27.5765,27.6421,27.7201,27.8108,27.9147,28.0319,27.1525,27.1603,27.1785,27.2082,27.2497,27.3032,27.3688,27.4469,27.5377,27.6416,27.759,26.9481,26.9558,26.9741,27.0038,27.0453,27.0988,27.1645,27.2426,27.3335,27.4375,27.5549,26.8063,26.8141,26.8324,26.8621,26.9036,26.9572,27.0229,27.101,27.1919,27.2959,27.4134,26.723,26.7308,26.749,26.7788,26.8203,26.8739,26.9396,27.0178,27.1087,27.2127,27.3302,26.6955,26.7033,26.7215,26.7513,26.7928,26.8464,26.9121,26.9903,27.0812,27.1852,27.3027,26.723,26.7308,26.749,26.7788,26.8203,26.8739,26.9396,27.0178,27.1087,27.2127,27.3302,26.8063,26.8141,26.8324,26.8621,26.9036,26.9572,27.0229,27.101,27.1919,27.2959,27.4134,26.9481,26.9558,26.9741,27.0038,27.0453,27.0988,27.1645,27.2426,27.3335,27.4375,27.5549,27.1525,27.1603,27.1785,27.2082,27.2497,27.3032,27.3688,27.4469,27.5377,27.6416,27.759,27.4259,27.4337,27.4519,27.4816,27.523,27.5765,27.6421,27.7201,27.8108,27.9147,28.0319
20,34.5362,34.5443,34.5632,34.5939,34.6367,34.6916,34.7586,34.8378,34.9291,35.0326,35.1482,34.2623,34.2705,34.2894,34.3201,34.363,34.4179,34.485,34.5642,34.6556,34.7592,34.8749,34.0499,34.058,34.0769,34.1077,34.1506,34.2056,34.2727,34.3519,34.4434,34.547,34.6628,33.8985,33.9066,33.9255,33.9563,33.9992,34.0542,34.1214,34.2007,34.2921,34.3958,34.5116,33.8078,33.8159,33.8349,33.8657,33.9086,33.9636,34.0307,34.1101,34.2016,34.3052,34.4211,33.7776,33.7857,33.8047,33.8355,33.8784,33.9334,34.0006,34.0799,34.1714,34.2751,34.391,33.8078,33.8159,33.8349,33.8657,33.9086,33.9636,34.0307,34.1101,34.2016,34.3052,34.4211,33.8985,33.9066,33.9255,33.9563,33.9992,34.0542,34.1214,34.2007,34.2921,34.3958,34.5116,34.0499,34.058,34.0769,34.1077,34.1506,34.2056,34.2727,34.3519,34.4434,34.547,34.6628,34.2623,34.2705,34.2894,34.3201,34.363,34.4179,34.485,34.5642,34.6556,34.7592,34.8749,34.5362,34.5443,34.5632,34.5939,34.6367,34.6916,34.7586,34.8378,34.9291,35.0326,35.1482
30,41.5012,41.5091,41.5277,41.5579,41.6,41.6539,41.7198,41.7975,41.8871,41.9887,42.1021,41.2323,41.2402,41.2588,41.2891,41.3312,41.3852,41.4511,41.5288,41.6185,41.7202,41.8337,41.0231,41.0311,41.0497,41.08,41.1221,41.1761,41.242,41.3199,41.4096,41.5113,41.6249,40.8737,40.8817,40.9003,40.9306,40.9728,41.0268,41.0927,41.1706,41.2604,41.3621,41.4758,40.7841,40.7921,40.8107,40.841,40.8832,40.9372,41.0032,41.0811,41.1709,41.2726,41.3863,40.7542,40.7622,40.7808,40.8111,40.8533,40.9073,40.9733,41.0512,41.141,41.2428,41.3565,40.7841,40.7921,40.8107,40.841,40.8832,40.9372,41.0032,41.0811,41.1709,41.2726,41.3863,40.8737,40.8817,40.9003,40.9306,40.9728,41.0268,41.0927,41.1706,41.2604,41.3621,41.4758,41.0231,41.0311,41.0497,41.08,41.1221,41.1761,41.242,41.3199,41.4096,41.5113,41.6249,41.2323,41.2402,41.2588,41.2891,41.3312,41.3852,41.4511,41.5288,41.6185,41.7202,41.8337,41.5012,41.5091,41.5277,41.5579,41.6,41.6539,41.7198,41.7975,41.8871,41.9887,42.1021
40,48.3325,48.3403,48.3585,48.3882,48.4294,48.4824,48.5469,48.6232,48.7111,48.8107,48.922,48.0687,48.0765,48.0947,48.1244,48.1657,48.2187,48.2833,48.3596,48.4476,48.5473,48.6587,47.8635,47.8713,47.8896,47.9193,47.9606,48.0136,48.0782,48.1546,48.2426,48.3424,48.4538,47.7169,47.7247,47.743,47.7727,47.814,47.867,47.9317,48.0081,48.0962,48.196,48.3075,47.6289,47.6368,47.655,47.6847,47.7261,47.7791,47.8438,47.9202,48.0083,48.1081,48.2196,47.5996,47.6074,47.6257,47.6554,47.6968,47.7498,47.8145,47.8909,47.979,48.0789,48.1904,47.6289,47.6368,47.655,47.6847,47.7261,47.7791,47.8438,47.9202,48.0083,48.1081,48.2196,47.7169,47.7247,47.743,47.7727,47.814,47.867,47.9317,48.0081,48.0962,48.196,48.3075,47.8635,47.8713,47.8896,47.9193,47.9606,48.0136,48.0782,48.1546,48.2426,48.3424,48.4538,48.0687,48.0765,48.0947,48.1244,48.1657,48.2187,48.2833,48.3596,48.4476,48.5473,48.6587,48.3325,48.3403,48.3585,48.3882,48.4294,48.4824,48.5469,48.6232,48.7111,48.8107,48.922
50,55.0336,55.0412,55.0591,55.0882,55.1287,55.1806,55.2439,55.3187,55.405,55.5027,55.6119,54.7748,54.7825,54.8003,54.8295,54.87,54.9219,54.9853,55.0602,55.1465,55.2443,55.3535,54.5735,54.5812,54.5991,54.6282,54.6687,54.7207,54.7841,54.859,54.9454,55.0433,55.1526,54.4297,54.4374,54.4553,54.4844,54.525,54.577,54.6404,54.7154,54.8018,54.8996,55.009,54.3434,54.3511,54.369,54.3981,54.4387,54.4907,54.5542,54.6291,54.7156,54.8135,54.9229,54.3146,54.3223,54.3402,54.3694,54.4099,54.462,54.5254,54.6004,54.6868,54.7847,54.8941,54.3434,54.3511,54.369,54.3981,54.4387,54.4907,54.5542,54.6291,54.7156,54.8135,54.9229,54.4297,54.4374,54.4553,54.4844,54.525,54.577,54.6404,54.7154,54.8018,54.8996,55.009,54.5735,54.5812,54.5991,54.6282,54.6687,54.7207,54.7841,54.859,54.9454,55.0433,55.1526,54.7748,54.7825,54.8003,54.8295,54.87,54.9219,54.9853,55.0602,55.1465,55.2443,55.3535,55.0336,55.0412,55.0591,55.0882,55.1287,55.1806,55.2439,55.3187,55.405,55.5027,55.6119
60,61.6069,61.6144,61.632,61.6605,61.7002,61.7512,61.8133,61.8867,61.9713,62.0671,62.1742,61.3531,61.3606,61.3782,61.4067,61.4465,61.4974,61.5596,61.6331,61.7177,61.8136,61.9208,61.1556,61.1632,61.1807,61.2093,61.2491,61.3001,61.3623,61.4357,61.5205,61.6165,61.7237,61.0146,61.0221,61.0397,61.0683,61.108,61.159,61.2213,61.2948,61.3796,61.4756,61.5828,60.9299,60.9374,60.955,60.9836,61.0234,61.0744,61.1367,61.2102,61.295,61.391,61.4983,60.9017,60.9092,60.9268,60.9554,60.9952,61.0462,61.1085,61.182,61.2668,61.3629,61.4702,60.9299,60.9374,60.955,60.9836,61.0234,61.0744,61.1367,61.2102,61.295,61.391,61.4983,61.0146,61.0221,61.0397,61.0683,61.108,61.159,61.2213,61.2948,61.3796,61.4756,61.5828,61.1556,61.1632,61.1807,61.2093,61.2491,61.3001,61.3623,61.4357,61.5205,61.6165,61.7237,61.3531,61.3606,61.3782,61.4067,61.4465,61.4974,61.5596,61.6331,61.7177,61.8136,61.9208,61.6069,61.6144,61.632,61.6605,61.7002,61.7512,61.8133,61.8867,61.9713,62.0671,62.1742
70,68.055,68.0624,68.0796,68.1076,68.1466,68.1965,68.2575,68.3295,68.4125,68.5065,68.6115,67.8061,67.8134,67.8306,67.8587,67.8977,67.9476,68.0086,68.0807,68.1637,68.2578,68.363,67.6124,67.6197,67.637,67.665,67.704,67.754,67.8151,67.8871,67.9702,68.0644,68.1696,67.474,67.4814,67.4986,67.5266,67.5657,67.6157,67.6768,67.7489,67.832,67.9262,68.0314,67.3909,67.3983,67.4156,67.4436,67.4826,67.5327,67.5938,67.6659,67.7491,67.8433,67.9485,67.3633,67.3706,67.3879,67.4159,67.455,67.505,67.5661,67.6382,67.7214,67.8156,67.9209,67.3909,67.3983,67.4156,67.4436,67.4826,67.5327,67.5938,67.6659,67.7491,67.8433,67.9485,67.474,67.4814,67.4986,67.5266,67.5657,67.6157,67.6768,67.7489,67.832,67.9262,68.0314,67.6124,67.6197,67.637,67.665,67.704,67.754,67.8151,67.8871,67.9702,68.0644,68.1696,67.8061,67.8134,67.8306,67.8587,67.8977,67.9476,68.0086,68.0807,68.1637,68.2578,68.363,68.055,68.0624,68.0796,68.1076,68.1466,68.1965,68.2575,68.3295,68.4125,68.5065,68.6115
80,74.3803,74.3875,74.4044,74.4319,74.4701,74.5191,74.5789,74.6495,74.7309,74.8231,74.9262,74.1361,74.1433,74.1602,74.1877,74.2259,74.2749,74.3348,74.4054,74.4869,74.5792,74.6823,73.946,73.9533,73.9702,73.9977,74.0359,74.085,74.1449,74.2156,74.2971,74.3895,74.4926,73.8103,73.8175,73.8344,73.862,73.9002,73.9493,74.0092,74.0799,74.1615,74.2539,74.3571,73.7288,73.7361,73.753,73.7805,73.8188,73.8679,73.9278,73.9986,74.0801,74.1726,74.2758,73.7017,73.7089,73.7258,73.7534,73.7917,73.8408,73.9007,73.9714,74.053,74.1454,74.2487,73.7288,73.7361,73.753,73.7805,73.8188,73.8679,73.9278,73.9986,74.0801,74.1726,74.2758,73.8103,73.8175,73.8344,73.862,73.9002,73.9493,74.0092,74.0799,74.1615,74.2539,74.3571,73.946,73.9533,73.9702,73.9977,74.0359,74.085,74.1449,74.2156,74.2971,74.3895,74.4926,74.1361,74.1433,74.1602,74.1877,74.2259,74.2749,74.3348,74.4054,74.4869,74.5792,74.6823,74.3803,74.3875,74.4044,74.4319,74.4701,74.5191,74.5789,74.6495,74.7309,74.8231,74.9262
90,80.585,80.5921,80.6087,80.6356,80.6731,80.7212,80.7798,80.8491,80.9289,81.0194,81.1205,80.3454,80.3525,80.3691,80.3961,80.4336,80.4817,80.5404,80.6097,80.6896,80.7801,80.8813,80.159,80.1661,80.1827,80.2097,80.2472,80.2954,80.3541,80.4234,80.5034,80.594,80.6952,80.0259,80.033,80.0496,80.0766,80.1141,80.1623,80.221,80.2904,80.3704,80.461,80.5623,79.946,79.9531,79.9697,79.9967,80.0342,80.0824,80.1412,80.2106,80.2906,80.3812,80.4825,79.9193,79.9264,79.943,79.97,80.0076,80.0558,80.1145,80.1839,80.264,80.3546,80.4559,79.946,79.9531,79.9697,79.9967,80.0342,80.0824,80.1412,80.2106,80.2906,80.3812,80.4825,80.0259,80.033,80.0496,80.0766,80.1141,80.1623,80.221,80.2904,80.3704,80.461,80.5623,80.159,80.1661,80.1827,80.2097,80.2472,80.2954,80.3541,80.4234,80.5034,80.594,80.6952,80.3454,80.3525,80.3691,80.3961,80.4336,80.4817,80.5404,80.6097,80.6896,80.7801,80.8813,80.585,80.5921,80.6087,80.6356,80.6731,80.7212,80.7798,80.8491,80.9289,81.0194,81.1205
